Variable Information,,,,,,,,,
Variable,Position,Label,Measurement Level,Role,Column Width,Alignment,Print Format,Write Format,
survey,1,Survey,Scale,Input,10,Right,F8.2,F8.2,
country,2,Country,Nominal,Input,10,Right,F8.2,F8.2,
weight,3,Weight,Scale,Input,10,Right,F8.2,F8.2,
id,4,Respondent ID,Scale,Input,10,Right,F8.2,F8.2,
econ_sit,5,"Q1. How would you describe the current economic situation in (survey country) – is it very good, somewhat good, somewhat bad or very bad?",Nominal,Input,10,Right,F2,F2,
children_betteroff,6,"Q2. When children today in (survey country) grow up, do you think they will be better off or worse off financially than their parents?",Nominal,Input,21,Right,F2,F2,
satisfied_democracy,7,"Q3. How satisfied are you with the way democracy is working in (survey country) – very satisfied, somewhat satisfied, not too satisfied, or not at all satisfied?",Nominal,Input,21,Right,F2,F2,
fav_us,8,"Q4a. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? a. The United States",Nominal,Input,8,Right,F2,F2,
fav_china,9,"Q4b. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? b. China",Nominal,Input,11,Right,F2,F2,
fav_eu,10,"Q4c. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? c. The European Union",Nominal,Input,8,Right,F2,F2,
fav_un,11,"Q4d. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? d. The United Nations",Nominal,Input,8,Right,F2,F2,
fav_nato,12,"Q4e. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? e. NATO, that is, North Atlantic Treaty Organization",Nominal,Input,10,Right,F2,F2,
fav_russia,13,"Q4f. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? f. Russia",Nominal,Input,12,Right,F2,F2,
fav_brazil,14,"Q4g. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? g. Brazil",Nominal,Input,12,Right,F2,F2,
fav_india,15,"Q4h. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? h. India",Nominal,Input,11,Right,F2,F2,
fav_bangladesh,16,"Q4i. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? i. Bangladesh",Nominal,Input,16,Right,F2,F2,
fav_srilanka,17,"Q4j. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? j. Sri Lanka",Nominal,Input,14,Right,F2,F2,
fav_pakistan,18,"Q4k. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? k. Pakistan",Nominal,Input,9,Right,F2,F2,
fav_japan,19,"Q4l. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? l. Japan",Nominal,Input,11,Right,F2,F2,
fav_lula,20,"Q5a. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? a. Luis Inácio Lula da Silva",Nominal,Input,10,Right,F2,F2,
fav_bolsonaro,21,"Q5b. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? b. Jair Bolsonaro",Nominal,Input,15,Right,F2,F2,
fav_netanyahu,22,"Q5c. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? c. Benjamin Netanyahu",Nominal,Input,15,Right,F1,F1,
fav_lapid,23,"Q5d. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? d. Yair Lapid",Nominal,Input,11,Right,F2,F2,
fav_bengvir,24,"Q5e. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? e. Itamar Ben-Gvir",Nominal,Input,13,Right,F2,F2,
fav_gantz,25,"Q5f. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? f. Benny Gantz",Nominal,Input,11,Right,F2,F2,
fav_gallant,26,"Q5g. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? g. Yoav Gallant",Ordinal,Input,8,Right,F8,F8,
fav_abbas,27,"Q5h. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? h. Mansour Abbas",Ordinal,Input,8,Right,F8,F8,
fav_smotrich,28,"Q5i. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? i. Bezalel Smotrich",Nominal,Input,14,Right,F2,F2,
fav_erdogan,29,"Q5j. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? j. Recep Tayyip Erdoğan",Nominal,Input,13,Right,F2,F2,
fav_kilicdaroglu,30,"Q5k. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? k. Kemal Kılıçdaroğlu",Nominal,Input,18,Right,F2,F2,
fav_pope,31,"Q6. Is your overall opinion of Pope Francis very favorable, somewhat favorable, somewhat unfavorable or very unfavorable?",Nominal,Input,10,Right,F2,F2,
partyfav_argentina_cambiemos,32,"Q7ARGa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. Juntos por el Cambio/Cambiemos (PRO-UCR-CC)",Nominal,Input,30,Right,F2,F2,
partyfav_argentina_fdt,33,"Q7ARGb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. Unión por la Patria/Peronismo",Nominal,Input,24,Right,F2,F2,
partyfav_argentina_avanza,34,"Q7ARGc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. La Libertad Avanza",Nominal,Input,27,Right,F2,F2,
partyfav_australia_labor,35,Q7AUSa. Do you have a favourable or unfavourable opinion of…? a. Labor Party (ALP),Nominal,Input,8,Right,F3,F3,
partyfav_australia_liberal,36,Q7AUSb. Do you have a favourable or unfavourable opinion of…? b. The Liberal-National Coalition,Nominal,Input,8,Right,F3,F3,
partyfav_australia_greens,37,Q7AUSc. Do you have a favourable or unfavourable opinion of…? c. The Greens,Nominal,Input,8,Right,F3,F3,
partyfav_australia_onenation,38,Q7AUSd. Do you have a favourable or unfavourable opinion of…? d. Pauline Hanson's One Nation,Nominal,Input,8,Right,F3,F3,
partyfav_bangladesh_bal,39,"Q7BGDa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. Bangladesh Awami League",Nominal,Input,25,Right,F2,F2,
partyfav_bangladesh_bnp,40,"Q7BGDb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Bangladesh Nationalist Party",Nominal,Input,25,Right,F2,F2,
partyfav_bangladesh_jp,41,"Q7BGDc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. Jatiya Party",Nominal,Input,24,Right,F2,F2,
partyfav_brazil_pl,42,"Q7BRAa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. PL, Liberal Party",Nominal,Input,20,Right,F2,F2,
partyfav_brazil_pt,43,"Q7BRAb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. PT, Partido dos Trabalhadores",Nominal,Input,20,Right,F2,F2,
partyfav_brazil_mdb,44,"Q7BRAc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. MDB, Movimento Democratico Brasileiro, formally known as PMDB",Nominal,Input,22,Right,F2,F2,
partyfav_brazil_republicans,45,"Q7BRAd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. Republicanos",Nominal,Input,29,Right,F2,F2,
partyfav_brazil_pp,46,"Q7BRAe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? e. PP, Partido Progressista",Nominal,Input,20,Right,F2,F2,
partyfav_canada_lib,47,"Q7CANa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. The Liberal Party",Nominal,Input,6,Right,F2,F2,
partyfav_canada_cons,48,"Q7CANb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. The Conservative Party",Nominal,Input,6,Right,F2,F2,
partyfav_canada_ndp,49,"Q7CANc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. The New Democratic Party (NDP)",Nominal,Input,6,Right,F2,F2,
partyfav_chile_rn,50,"Q7CHLa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. National Renovation (RN)",Nominal,Input,19,Right,F2,F2,
partyfav_chile_udi,51,"Q7CHLb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Independent Democratic Union (UDI)",Nominal,Input,20,Right,F2,F2,
partyfav_chile_ps,52,"Q7CHLc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. Socialist Party (PS)",Nominal,Input,19,Right,F2,F2,
partyfav_chile_cp,53,"Q7CHLd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Communist Party",Nominal,Input,19,Right,F2,F2,
partyfav_chile_rp,54,"Q7CHLe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? e. Republican Party",Nominal,Input,19,Right,F2,F2,
partyfav_colombia_clp,55,"Q7COLa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. Colombian Liberal Party",Nominal,Input,23,Right,F2,F2,
partyfav_colombia_ga,56,"Q7COLb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Green Alliance",Nominal,Input,22,Right,F2,F2,
partyfav_colombia_dc,57,"Q7COLc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. Democratic Center",Nominal,Input,22,Right,F2,F2,
partyfav_colombia_rc,58,"Q7COLd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Radical Change",Nominal,Input,22,Right,F2,F2,
partyfav_colombia_ccp,59,"Q7COLe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? e. Colombian Conservative Party",Nominal,Input,23,Right,F2,F2,
partyfav_france_lesrepublicains,60,"Q7FRAa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. The Republicans - LR",Nominal,Input,33,Right,F2,F2,
partyfav_france_socialistparty,61,"Q7FRAb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. Socialist Party - PS",Nominal,Input,32,Right,F2,F2,
partyfav_france_frontnational,62,"Q7FRAc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. National Front / National Rally - RN",Nominal,Input,31,Right,F2,F2,
partyfav_france_enmarche,63,"Q7FRAd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. Renaissance, formerly known as En Marche",Nominal,Input,26,Right,F2,F2,
partyfav_france_insoumise,64,"Q7FRAe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? e. Untamed France / La France Insoumise",Nominal,Input,27,Right,F2,F2,
partyfav_germany_cdu,65,"Q7DEUa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. Christian Democratic Union (CDU)",Nominal,Input,8,Right,F2,F2,
partyfav_germany_spd,66,"Q7DEUb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. Social Democratic Party of Germany (SPD)",Nominal,Input,8,Right,F2,F2,
partyfav_germany_afd,67,"Q7DEUc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. Alternative for Germany (AfD)",Nominal,Input,8,Right,F2,F2,
partyfav_germany_greens,68,"Q7DEUd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. The Greens/Alliance 90",Nominal,Input,8,Right,F2,F2,
partyfav_germany_fdp,69,"Q7DEUe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? e. Free Democratic Party (FDP)",Nominal,Input,8,Right,F2,F2,
partyfav_ghana_npp,70,"Q7GHAa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. New Patriotic Party (NPP)",Nominal,Input,20,Right,F2,F2,
partyfav_ghana_ndc,71,"Q7GHAb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. National Democratic Congress (NDC)",Nominal,Input,20,Right,F2,F2,
partyfav_ghana_ppp,72,"Q7GHAc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. Progressive People's Party (PPP)",Nominal,Input,20,Right,F2,F2,
partyfav_ghana_pnc,73,"Q7GHAd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. People's National Convention (PNC)",Nominal,Input,20,Right,F2,F2,
partyfav_ghana_cpp,74,"Q7GHAe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? e. Convention People's Party (CPP)",Nominal,Input,20,Right,F2,F2,
partyfav_greece_syriza,75,"Q7GRCa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. SYRIZA",Nominal,Input,24,Right,F2,F2,
partyfav_greece_newdemocracy,76,"Q7GRCb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. New Democracy (ND)",Nominal,Input,30,Right,F2,F2,
partyfav_greece_demcoal,77,"Q7GRCc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. Movement for Change - PASOK-Kinima Allagis (KINAL)",Nominal,Input,25,Right,F2,F2,
partyfav_greece_solution,78,"Q7GRCd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. Greek Solution (EL)",Nominal,Input,26,Right,F2,F2,
partyfav_greece_spartans,79,"Q7GRCe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? e. Spartans",Nominal,Input,26,Right,F2,F2,
partyfav_greece_communist,80,"Q7GRCf. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? f. Communist Party of Greece (KKE)",Nominal,Input,27,Right,F2,F2,
partyfav_hungary_fidesz,81,"Q7HUNa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. Fidesz",Nominal,Input,8,Right,F2,F2,
partyfav_hungary_mszp,82,"Q7HUNb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. Hungarian Socialist Party (MSZP)",Nominal,Input,8,Right,F2,F2,
partyfav_hungary_jobbik,83,"Q7HUNc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. Jobbik (Movement for a Better Hungary)",Nominal,Input,8,Right,F2,F2,
partyfav_hungary_dk,84,"Q7HUNd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. Democratic Coalition",Nominal,Input,8,Right,F2,F2,
partyfav_india_bjp,85,"Q7INDa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. Bharatiya Janata Party (BJP)",Nominal,Input,20,Right,F2,F2,
partyfav_india_inc,86,"Q7INDb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. Indian National Congress (INC)",Nominal,Input,20,Right,F2,F2,
partyfav_indonesia_pdip,87,"Q7IDNa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. PDI-P - Partai Demokrasi Indonesia Perjuangan",Nominal,Input,25,Right,F2,F2,
partyfav_indonesia_gerindra,88,"Q7IDNb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. Gerindra - Partai Gerakan Indonesia Raya",Nominal,Input,29,Right,F2,F2,
partyfav_indonesia_golkar,89,"Q7IDNc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. Golkar - Partai Golongan Karya",Nominal,Input,27,Right,F2,F2,
partyfav_indonesia_demokrat,90,"Q7IDNd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. Partai Demokrat",Nominal,Input,29,Right,F2,F2,
partyfav_indonesia_pkb,91,"Q7IDNe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? e. PKB - Partai Kebangkitan Bangsa",Nominal,Input,24,Right,F2,F2,
partyfav_israel_likud,92,"Q7ISRa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. Likud",Nominal,Input,23,Right,F2,F2,
