caseid,unique.id,year,year_1984,year_1988,year_1992,year_1996,year_2000,year_2004,year_2008,year_2012,year_2016,year_2020,weight.combined,mode,age.18.39,age.40.64,age.64.plus,pid7,pid3,pid.rep,pid.dem,pid.pureind,pid.leaner,pid.strong,pid.weak,race,race.white,race.black,race.other,female,college,pol.int,ideo7,trust,dislikeanything.rep,repdislikes,replikes.orig,dislikeanything.dem,demdislikes,demlikes.orig
1,1,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,7,Republican,1,0,0,0,1,0,1,1,0,0,1,0,0.666666667,2,88,0,NA,Budget minded.  A little more conscious of other peoples money.  I like their foreign policies.  Just more concerned about foreign policy and they are not as weak as Democrats.,1,Spend too much money,NA
2,2,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,4,Pure Independent,0,0,1,0,0,0,1,1,0,0,1,1,1,4,33,0,NA,"The Republican party encourages private competition which I think is economically healthy.  For example, the deregulation of the airlines and also buses were deregulated, weren't they?  This allowed other entrepreneurial people to get into, to operate businesses that had otherwise been closed.  Private enterprise is good.  I'll tell you another thing is that Air Atlanta, primarily a Black corporation.  It caters to Blacks.  It's run by Blacks or owned by Black people which proves the health of ethnic enterprises.  (A.E.) Clare Booth Luce.",1,The great giveaway program Its not like they really mean it In an election year youre not going to find anyone Democrat or Republican voting against Social Security I dislike political motivation Id like to see someone vote his conscience occasionally,The Democratic party is a compassionate party.  They honor working people and they do provide.
3,3,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,2,Democrat,0,1,0,0,0,1,1,1,0,0,1,0,0.666666667,9,75,0,NA,NA,0,NA,They're striving to help individuals  They stress finances of the middle class and the poor.  That's something that I've always admired about the Democrats.  That's always their main platform.  That's usually what their campaign speeches are about.  It's about meeting the needs of the people rather than the country as a whole.
4,4,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,2,Democrat,0,1,0,0,0,1,2,0,1,0,1,0,0.333333333,9,8,0,NA,NA,0,NA,Democrats are mostly for helping and providing better for the poor people to my notion.  Not cutting out food stamps and making sure poor people are taken care of.
5,5,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,5,Republican,1,0,0,1,0,0,1,1,0,0,0,0,1,5,11,1,The president has not used very good judgement in his selection of advisors as to capable people They smack of political favors past done The Republican party great favors and remember the Secretary of the Interior is another James Watt a poor selection,They are more fiscally responsible.  They are not the wild spenders.  Most of the debt can be laid at the feet of the Democratic party and the Democratic Congress is spending too much money.,1,Reputation for spending and not showing where to get the money Always had a reputation for enlarging the bureaucracy of government,NA
6,6,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,2,Democrat,0,1,0,0,0,1,1,1,0,0,1,0,0.666666667,9,46,NA,NA,NA,NA,NA,NA
7,7,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,1,Democrat,0,1,0,0,1,0,1,1,0,0,1,0,1,6,21,1,He thinks about overseas more than at home He flies back and forth rather than stay at home He has big suppers shown on TV They should only have desert with other people doing without I dont like to see them drinking on TV,"They have tried to help in some ways.  They have took welfare away from a lot of people and made them work.  They have tried to find jobs for less fortunate and handicapped.  On the other hand, he takes away from other people, cut my disability.",1,They all spend too much money,"He gets up there and tells you if he's doing the taxes.  Reagan tells you nothing.  He tries to help the people who are unfortunate.  They are more for the people who are not well off, people between the poor and the rich.  He is more concerned about the U.S. than the foreign countries."
8,8,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,0,0,5,Republican,1,0,0,1,0,0,1,1,0,0,1,0,0.666666667,9,39,NA,NA,NA,NA,NA,NA
9,9,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,7,Republican,1,0,0,0,1,0,1,1,0,0,0,1,1,5,46,1,Although like to identify with the elite I dislike their tendency to appeal only to that group of people They tend to be too conservative on social issues like racial policies affirmative action They are less inclined to enforce affirmative action policies I dont like their policies against abortion,"They are identified with successful people and I like that.  Economically successful, upper middle class and higher income groups are generally Republicans.  I like that identification.  I want to be in that group.  Generally, I agree with their conservative attitude that government should take a lesser role.",1,I disagree with many of their policies Their economic policies tend to want to solve peoples problems by the use of the government and spending money So far as foreign policy is concerned I think they are softer on communism,"They encompass a larger array of ethnic groups, a racial mix and a variety of people.  They are very universal.  They appeal to a broader cross section of Americans.  Some of their policies..I think they are more generous to Blacks and minorities and I like that."
10,10,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,6,Republican,1,0,0,0,0,1,1,1,0,0,1,1,0.333333333,4,67,NA,NA,NA,NA,NA,NA
11,11,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,2,Democrat,0,1,0,0,0,1,1,1,0,0,1,0,0.666666667,4,21,1,They are more for big business,NA,0,NA,They seem to be more for the little guy.
12,12,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,0,0,0.666666667,3,54,1,Theyre not even acknowledging that there are poor people in this countrylike Meeses remark about food lines I dont like the way Reagan handles the defense He wont negotiate acts tough The national debt is huge because of defense spending,I like the strong defense.  You can't separate the party from the man.  Republicans tried to cut some of the fat out of the budget instead of raising the taxes and that was good.,1,The way they are handling the presidential campaign They lack direction Mondale has switched horses and tried to change his personality and this should have been thought of long ago Not organized a lack of ironing out the details of the campaign before they got into it,They are more representative of the working class and represent the interests of the masses rather than of business and the very rich.  They are throwing up a facade of equality by putting Geraldine Ferraro up as vice president.  They struggle for equality of the minorities.
13,13,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,5,Republican,1,0,0,1,0,0,1,1,0,0,0,1,0.666666667,5,54,0,NA,"Seem to look at the overall and emphasize old time values.  People are good, work well, get us through problems.  Better organized.",1,They forget about everyone other than the little man They pick up a small group such as gays and they keep forgetting they represent the whole society Their platforms are designed to help the small groups,Their concern with the little man.
